item_sno,effect_no
fZ529EWuqunmK7byYWfM5,1
fZ529EWuqunmK7byYWfM5,2
fZ529EWuqunmK7byYWfM5,3
fZ529EWuqunmK7byYWfM5,4
fZ529EWuqunmK7byYWfM5,5
fOVwTJUdFjgNZftn8DkYW,2
fOVwTJUdFjgNZftn8DkYW,4
fOVwTJUdFjgNZftn8DkYW,6
fOVwTJUdFjgNZftn8DkYW,7
fOVwTJUdFjgNZftn8DkYW,5
fqECIJXyJsJIyIvfesaVi,8
fqECIJXyJsJIyIvfesaVi,2
fqECIJXyJsJIyIvfesaVi,7
fqECIJXyJsJIyIvfesaVi,9
fqECIJXyJsJIyIvfesaVi,5
fYEVfdQt9OudsPWWthogm,10
fYEVfdQt9OudsPWWthogm,11
fYEVfdQt9OudsPWWthogm,6
fYEVfdQt9OudsPWWthogm,12
fYEVfdQt9OudsPWWthogm,5
fhnpi4CbHe6zzYStnVbVj,8
fhnpi4CbHe6zzYStnVbVj,13
fhnpi4CbHe6zzYStnVbVj,10
fhnpi4CbHe6zzYStnVbVj,9
fhnpi4CbHe6zzYStnVbVj,12
f8uoz8wKeNUv7T8LODusm,13
f8uoz8wKeNUv7T8LODusm,2
f8uoz8wKeNUv7T8LODusm,10
f8uoz8wKeNUv7T8LODusm,3
f8uoz8wKeNUv7T8LODusm,4
f8uoz8wKeNUv7T8LODusm,6
f8uoz8wKeNUv7T8LODusm,7
fU0paMhIQ3oQI9RBmkwhT,8
fU0paMhIQ3oQI9RBmkwhT,10
fU0paMhIQ3oQI9RBmkwhT,12
fpXRFcBC0J09r9ndb7eZL,8
fpXRFcBC0J09r9ndb7eZL,2
fpXRFcBC0J09r9ndb7eZL,4
fpXRFcBC0J09r9ndb7eZL,9
fBMnpyjZHdK3lGDLbxQZ8,14
fBMnpyjZHdK3lGDLbxQZ8,3
fBMnpyjZHdK3lGDLbxQZ8,7
fBMnpyjZHdK3lGDLbxQZ8,9
fBMnpyjZHdK3lGDLbxQZ8,5
fVpzpnes17kDiZK7XYh0H,8
fVpzpnes17kDiZK7XYh0H,2
fVpzpnes17kDiZK7XYh0H,3
fVpzpnes17kDiZK7XYh0H,9
fVpzpnes17kDiZK7XYh0H,5
fYywJSTRvAAZ2B9VubY2n,14
fYywJSTRvAAZ2B9VubY2n,8
fYywJSTRvAAZ2B9VubY2n,3
fe1nOQjd2exvf1bZn6lpQ,8
fe1nOQjd2exvf1bZn6lpQ,13
fe1nOQjd2exvf1bZn6lpQ,1
fe1nOQjd2exvf1bZn6lpQ,2
fe1nOQjd2exvf1bZn6lpQ,7
f9Fu4iSZjRXesf9pxKEEO,3
f9Fu4iSZjRXesf9pxKEEO,9
fOR0GGLKu0bYtGaYmLTfs,3
fOR0GGLKu0bYtGaYmLTfs,9
fFVmsvGz6te2QJSp3u5UJ,8
fFVmsvGz6te2QJSp3u5UJ,2
fFVmsvGz6te2QJSp3u5UJ,7
fXkNS3UFZmjFbkSnZv26H,2
fXkNS3UFZmjFbkSnZv26H,10
f1jJZe6edXaqv3iWq4Jke,8
f1jJZe6edXaqv3iWq4Jke,1
f1jJZe6edXaqv3iWq4Jke,2
f1jJZe6edXaqv3iWq4Jke,3
f1jJZe6edXaqv3iWq4Jke,4
fyBfqx514rfDWDUDPbLq6,13
fyBfqx514rfDWDUDPbLq6,10
fyBfqx514rfDWDUDPbLq6,4
fyBfqx514rfDWDUDPbLq6,15
fuQXKh3o1Ah35FLSBLyhU,1
fuQXKh3o1Ah35FLSBLyhU,7
fuQXKh3o1Ah35FLSBLyhU,9
fuQXKh3o1Ah35FLSBLyhU,16
fWIGAslo7pFesO6XIixBo,8
fD4OxY4BydV8fHQdEHfaj,8
fD4OxY4BydV8fHQdEHfaj,1
fD4OxY4BydV8fHQdEHfaj,2
fD4OxY4BydV8fHQdEHfaj,3
fD4OxY4BydV8fHQdEHfaj,4
fVFRRH4sNrllrLXCFVR5S,8
fVFRRH4sNrllrLXCFVR5S,13
fVFRRH4sNrllrLXCFVR5S,1
fVFRRH4sNrllrLXCFVR5S,2
fVFRRH4sNrllrLXCFVR5S,4
fVFRRH4sNrllrLXCFVR5S,7
fVFRRH4sNrllrLXCFVR5S,9
fThExcmFqFARd3DlXqzuV,2
fThExcmFqFARd3DlXqzuV,3
fThExcmFqFARd3DlXqzuV,9
fX0a2dKnkTnYjDZprZaDC,8
fX0a2dKnkTnYjDZprZaDC,13
fX0a2dKnkTnYjDZprZaDC,1
fX0a2dKnkTnYjDZprZaDC,7
fX0a2dKnkTnYjDZprZaDC,9
fNOlBJ9cxmNnYE6zQQfXa,8
fNOlBJ9cxmNnYE6zQQfXa,2
fNOlBJ9cxmNnYE6zQQfXa,3
f2XnfJvhwm1HpDxng1Z56,8
f2XnfJvhwm1HpDxng1Z56,2
fltD5lnTAN40PFSsS5pRq,8
fltD5lnTAN40PFSsS5pRq,2
fZKCfdgjSEqSe5veU01S5,8
fZKCfdgjSEqSe5veU01S5,1
fZKCfdgjSEqSe5veU01S5,2
fZKCfdgjSEqSe5veU01S5,4
fZKCfdgjSEqSe5veU01S5,17
fcxc2D7mwgfIAbtijvYNQ,2
fcxc2D7mwgfIAbtijvYNQ,10
fcxc2D7mwgfIAbtijvYNQ,6
fcxc2D7mwgfIAbtijvYNQ,16
fcxc2D7mwgfIAbtijvYNQ,5
f0r3vK9VdjaZ4vPK0INVX,14
f0r3vK9VdjaZ4vPK0INVX,8
f0r3vK9VdjaZ4vPK0INVX,1
f0r3vK9VdjaZ4vPK0INVX,2
f0r3vK9VdjaZ4vPK0INVX,10
f0r3vK9VdjaZ4vPK0INVX,3
f0r3vK9VdjaZ4vPK0INVX,4
f0r3vK9VdjaZ4vPK0INVX,6
f78pO8CbEoszmlz6QYQ7P,8
f78pO8CbEoszmlz6QYQ7P,2
fTguUPg5y3kmLm6Nw0K3b,8
fTguUPg5y3kmLm6Nw0K3b,1
fTguUPg5y3kmLm6Nw0K3b,2
fTguUPg5y3kmLm6Nw0K3b,6
fTguUPg5y3kmLm6Nw0K3b,7
fTguUPg5y3kmLm6Nw0K3b,9
fc9VpC2t3pURL0ueMP6Px,8
fc9VpC2t3pURL0ueMP6Px,13
fc9VpC2t3pURL0ueMP6Px,1
fc9VpC2t3pURL0ueMP6Px,2
fc9VpC2t3pURL0ueMP6Px,3
fc9VpC2t3pURL0ueMP6Px,18
fc9VpC2t3pURL0ueMP6Px,7
fc9VpC2t3pURL0ueMP6Px,9
fEFaNm7ReE73kdU4TA5VC,1
fEFaNm7ReE73kdU4TA5VC,2
fEFaNm7ReE73kdU4TA5VC,10
fEFaNm7ReE73kdU4TA5VC,3
fw4vbr4sAlwwV6AYSc0Tw,2
fw4vbr4sAlwwV6AYSc0Tw,10
fDr7HztRdhBVDiKGUZjaH,9
funz9omwvsDZziPdo6RCI,14
funz9omwvsDZziPdo6RCI,2
funz9omwvsDZziPdo6RCI,3
funz9omwvsDZziPdo6RCI,4
funz9omwvsDZziPdo6RCI,7
f7swEYEUWA52OrmEEkTGc,8
f7swEYEUWA52OrmEEkTGc,2
faYHKFDm1tnxgm1F0ymFq,8
faYHKFDm1tnxgm1F0ymFq,13
faYHKFDm1tnxgm1F0ymFq,1
faYHKFDm1tnxgm1F0ymFq,2
faYHKFDm1tnxgm1F0ymFq,10
faYHKFDm1tnxgm1F0ymFq,9
fsjuITgcIq1wjykIjIP1S,19
fsjuITgcIq1wjykIjIP1S,14
fsjuITgcIq1wjykIjIP1S,8
fsjuITgcIq1wjykIjIP1S,13
fsjuITgcIq1wjykIjIP1S,1
fsjuITgcIq1wjykIjIP1S,2
fsjuITgcIq1wjykIjIP1S,3
fsjuITgcIq1wjykIjIP1S,4
fsjuITgcIq1wjykIjIP1S,6
f2HBxAPbRAXRYxZRjUXDg,8
f2HBxAPbRAXRYxZRjUXDg,13
f2HBxAPbRAXRYxZRjUXDg,1
f2HBxAPbRAXRYxZRjUXDg,2
f2HBxAPbRAXRYxZRjUXDg,10
f2HBxAPbRAXRYxZRjUXDg,3
f2HBxAPbRAXRYxZRjUXDg,7
fbDTlWX23OZJAGkJKl3Sa,19
fbDTlWX23OZJAGkJKl3Sa,14
fbDTlWX23OZJAGkJKl3Sa,8
fbDTlWX23OZJAGkJKl3Sa,12
fR5V7WcAq23BeGuPXJxQr,8
fR5V7WcAq23BeGuPXJxQr,2
fR5V7WcAq23BeGuPXJxQr,10
fR5V7WcAq23BeGuPXJxQr,3
fR5V7WcAq23BeGuPXJxQr,12
fMX70E2pArtSE6XkUYIHV,1
fMX70E2pArtSE6XkUYIHV,4
fMX70E2pArtSE6XkUYIHV,7
fMX70E2pArtSE6XkUYIHV,15
fIyZJGefeQJFMg8rntmUV,13
fIyZJGefeQJFMg8rntmUV,2
fIyZJGefeQJFMg8rntmUV,4
fIyZJGefeQJFMg8rntmUV,7
fIyZJGefeQJFMg8rntmUV,9
fDkOuEFlsHs1V1ehx5Nsx,13
fDkOuEFlsHs1V1ehx5Nsx,2
fDkOuEFlsHs1V1ehx5Nsx,10
fDkOuEFlsHs1V1ehx5Nsx,4
fDkOuEFlsHs1V1ehx5Nsx,12
fQgLwOSmzy3wjid4pbrD2,8
fQgLwOSmzy3wjid4pbrD2,12
fKCvkkEwyQBGkPO08nK1d,8
fKCvkkEwyQBGkPO08nK1d,2
fKCvkkEwyQBGkPO08nK1d,3
fKCvkkEwyQBGkPO08nK1d,9
fKCvkkEwyQBGkPO08nK1d,5
f907quL6QM9KgBprukeCi,13
f907quL6QM9KgBprukeCi,1
f907quL6QM9KgBprukeCi,2
f907quL6QM9KgBprukeCi,4
f907quL6QM9KgBprukeCi,7
fBMDk4ccsxWrvuU9sBH1G,8
fBMDk4ccsxWrvuU9sBH1G,2
fBMDk4ccsxWrvuU9sBH1G,10
fBMDk4ccsxWrvuU9sBH1G,4
fBMDk4ccsxWrvuU9sBH1G,9
famt7yPjM0HbhF1nMSNG1,8
famt7yPjM0HbhF1nMSNG1,2
fCOg14DY12jWHZ9bSvUrb,1
fCOg14DY12jWHZ9bSvUrb,4
fCOg14DY12jWHZ9bSvUrb,11
fCOg14DY12jWHZ9bSvUrb,7
fo1Ept6x2l1OaVlvDF2WC,8
flAuAmGaWZJUA1Na2JyGI,8
flAuAmGaWZJUA1Na2JyGI,13
flAuAmGaWZJUA1Na2JyGI,2
flAuAmGaWZJUA1Na2JyGI,3
flAuAmGaWZJUA1Na2JyGI,4
flAuAmGaWZJUA1Na2JyGI,7
flAuAmGaWZJUA1Na2JyGI,12
flAuAmGaWZJUA1Na2JyGI,20
fOa78NAnrtlZKRvVf2lYJ,8
