item_sno,material_no
fZ529EWuqunmK7byYWfM5,1
fOVwTJUdFjgNZftn8DkYW,2
fqECIJXyJsJIyIvfesaVi,3
fYEVfdQt9OudsPWWthogm,1
fhnpi4CbHe6zzYStnVbVj,1
fhnpi4CbHe6zzYStnVbVj,2
fhnpi4CbHe6zzYStnVbVj,4
f8uoz8wKeNUv7T8LODusm,1
f8uoz8wKeNUv7T8LODusm,5
f8uoz8wKeNUv7T8LODusm,6
fU0paMhIQ3oQI9RBmkwhT,1
fpXRFcBC0J09r9ndb7eZL,1
fpXRFcBC0J09r9ndb7eZL,2
fBMnpyjZHdK3lGDLbxQZ8,1
fBMnpyjZHdK3lGDLbxQZ8,7
fBMnpyjZHdK3lGDLbxQZ8,2
fVpzpnes17kDiZK7XYh0H,8
fYywJSTRvAAZ2B9VubY2n,3
fYywJSTRvAAZ2B9VubY2n,5
fYywJSTRvAAZ2B9VubY2n,9
fe1nOQjd2exvf1bZn6lpQ,10
f9Fu4iSZjRXesf9pxKEEO,11
f9Fu4iSZjRXesf9pxKEEO,5
f9Fu4iSZjRXesf9pxKEEO,9
fOR0GGLKu0bYtGaYmLTfs,11
fOR0GGLKu0bYtGaYmLTfs,5
fOR0GGLKu0bYtGaYmLTfs,9
fFVmsvGz6te2QJSp3u5UJ,1
fXkNS3UFZmjFbkSnZv26H,6
fXkNS3UFZmjFbkSnZv26H,9
fXkNS3UFZmjFbkSnZv26H,8
f1jJZe6edXaqv3iWq4Jke,9
f1jJZe6edXaqv3iWq4Jke,12
f1jJZe6edXaqv3iWq4Jke,2
fyBfqx514rfDWDUDPbLq6,1
fyBfqx514rfDWDUDPbLq6,7
fyBfqx514rfDWDUDPbLq6,2
fuQXKh3o1Ah35FLSBLyhU,1
fuQXKh3o1Ah35FLSBLyhU,7
fuQXKh3o1Ah35FLSBLyhU,2
fWIGAslo7pFesO6XIixBo,11
fWIGAslo7pFesO6XIixBo,7
fWIGAslo7pFesO6XIixBo,9
fWIGAslo7pFesO6XIixBo,12
fD4OxY4BydV8fHQdEHfaj,6
fD4OxY4BydV8fHQdEHfaj,2
fVFRRH4sNrllrLXCFVR5S,10
fVFRRH4sNrllrLXCFVR5S,6
fVFRRH4sNrllrLXCFVR5S,9
fVFRRH4sNrllrLXCFVR5S,2
fVFRRH4sNrllrLXCFVR5S,4
fThExcmFqFARd3DlXqzuV,1
fThExcmFqFARd3DlXqzuV,2
fX0a2dKnkTnYjDZprZaDC,10
fX0a2dKnkTnYjDZprZaDC,11
fX0a2dKnkTnYjDZprZaDC,1
frEhr2b3hYgeb2Gq0Eds5,12
frEhr2b3hYgeb2Gq0Eds5,2
fNOlBJ9cxmNnYE6zQQfXa,9
fNOlBJ9cxmNnYE6zQQfXa,12
f2XnfJvhwm1HpDxng1Z56,3
f2XnfJvhwm1HpDxng1Z56,6
f2XnfJvhwm1HpDxng1Z56,8
fltD5lnTAN40PFSsS5pRq,1
fltD5lnTAN40PFSsS5pRq,3
fltD5lnTAN40PFSsS5pRq,2
fZKCfdgjSEqSe5veU01S5,9
fZKCfdgjSEqSe5veU01S5,8
fcxc2D7mwgfIAbtijvYNQ,11
f0r3vK9VdjaZ4vPK0INVX,1
f0r3vK9VdjaZ4vPK0INVX,5
f0r3vK9VdjaZ4vPK0INVX,6
f0r3vK9VdjaZ4vPK0INVX,2
f0r3vK9VdjaZ4vPK0INVX,4
f78pO8CbEoszmlz6QYQ7P,11
f78pO8CbEoszmlz6QYQ7P,7
f78pO8CbEoszmlz6QYQ7P,12
fTguUPg5y3kmLm6Nw0K3b,9
fTguUPg5y3kmLm6Nw0K3b,2
fc9VpC2t3pURL0ueMP6Px,11
fc9VpC2t3pURL0ueMP6Px,7
fc9VpC2t3pURL0ueMP6Px,12
fEFaNm7ReE73kdU4TA5VC,6
fEFaNm7ReE73kdU4TA5VC,9
fEFaNm7ReE73kdU4TA5VC,8
fw4vbr4sAlwwV6AYSc0Tw,6
fw4vbr4sAlwwV6AYSc0Tw,9
fw4vbr4sAlwwV6AYSc0Tw,8
fDr7HztRdhBVDiKGUZjaH,11
fDr7HztRdhBVDiKGUZjaH,2
funz9omwvsDZziPdo6RCI,11
funz9omwvsDZziPdo6RCI,5
funz9omwvsDZziPdo6RCI,6
funz9omwvsDZziPdo6RCI,9
funz9omwvsDZziPdo6RCI,8
f7swEYEUWA52OrmEEkTGc,1
f7swEYEUWA52OrmEEkTGc,7
f7swEYEUWA52OrmEEkTGc,2
faYHKFDm1tnxgm1F0ymFq,8
fsjuITgcIq1wjykIjIP1S,2
f2HBxAPbRAXRYxZRjUXDg,11
f2HBxAPbRAXRYxZRjUXDg,7
ff8eeWselOkxX2MgqqHHV,10
ff8eeWselOkxX2MgqqHHV,1
ff8eeWselOkxX2MgqqHHV,3
ff8eeWselOkxX2MgqqHHV,2
