item_sno,effect_no
smzZXruPnxC9LTrBhaI3e,8
smzZXruPnxC9LTrBhaI3e,21
smzZXruPnxC9LTrBhaI3e,9
smzZXruPnxC9LTrBhaI3e,22
smzZXruPnxC9LTrBhaI3e,23
sBm5SwD65I9LExk9xwhdM,19
sBm5SwD65I9LExk9xwhdM,8
sBm5SwD65I9LExk9xwhdM,13
sBm5SwD65I9LExk9xwhdM,1
sBm5SwD65I9LExk9xwhdM,2
sBm5SwD65I9LExk9xwhdM,10
sBm5SwD65I9LExk9xwhdM,4
sBm5SwD65I9LExk9xwhdM,6
sBm5SwD65I9LExk9xwhdM,9
sBm5SwD65I9LExk9xwhdM,17
sjWnyuy2Be4FsBIxrkj3S,1
sjWnyuy2Be4FsBIxrkj3S,2
sjWnyuy2Be4FsBIxrkj3S,3
sjWnyuy2Be4FsBIxrkj3S,7
sjWnyuy2Be4FsBIxrkj3S,15
sWhF8RglSOaWBZJfjj3NR,19
sWhF8RglSOaWBZJfjj3NR,9
sWhF8RglSOaWBZJfjj3NR,22
sWhF8RglSOaWBZJfjj3NR,23
sYgaKpAcvCvlNTk9M1ej9,8
sYgaKpAcvCvlNTk9M1ej9,9
sYgaKpAcvCvlNTk9M1ej9,17
sYgaKpAcvCvlNTk9M1ej9,22
sDHtBercZICqDPpEujQQf,8
sDHtBercZICqDPpEujQQf,2
sDHtBercZICqDPpEujQQf,10
sDHtBercZICqDPpEujQQf,3
sDHtBercZICqDPpEujQQf,9
s431eN8Mcb8JeDxzJAF68,19
s431eN8Mcb8JeDxzJAF68,8
s431eN8Mcb8JeDxzJAF68,23
sxFjfvYn4s2v4Fik2ThWH,8
sxFjfvYn4s2v4Fik2ThWH,21
sxFjfvYn4s2v4Fik2ThWH,22
sxFjfvYn4s2v4Fik2ThWH,16
sxFjfvYn4s2v4Fik2ThWH,23
sKMkd8i80Y5OsCmYPrcTU,19
swMhf7lQeRIXTAfaoE8co,8
swMhf7lQeRIXTAfaoE8co,10
swMhf7lQeRIXTAfaoE8co,9
swMhf7lQeRIXTAfaoE8co,5
swMhf7lQeRIXTAfaoE8co,23
s1QzeJG4fUqZ7uxFI9DRO,19
s1QzeJG4fUqZ7uxFI9DRO,8
s1QzeJG4fUqZ7uxFI9DRO,22
s1QzeJG4fUqZ7uxFI9DRO,23
s59XPS7JxwHlLIsAD6YNm,19
sTzBSvbK5od0wFPD1vL7N,19
sTzBSvbK5od0wFPD1vL7N,14
sTzBSvbK5od0wFPD1vL7N,8
sTzBSvbK5od0wFPD1vL7N,2
srjKOd51KyaPyvbA0MaMq,8
srjKOd51KyaPyvbA0MaMq,3
srjKOd51KyaPyvbA0MaMq,9
sCJbEjMK2E8HU3sfxrlsi,3
sjUMeHLxp2moASumZ7Vxa,9
sjUMeHLxp2moASumZ7Vxa,12
sjUMeHLxp2moASumZ7Vxa,23
skGPr0fRxsaLxTpzOBHVh,19
skGPr0fRxsaLxTpzOBHVh,9
skGPr0fRxsaLxTpzOBHVh,23
ssyCyeHQUUaQkClomvgN7,8
ssyCyeHQUUaQkClomvgN7,2
ssyCyeHQUUaQkClomvgN7,9
s7Eq7rEVjm8y56wg8tgzk,19
s7Eq7rEVjm8y56wg8tgzk,8
s7Eq7rEVjm8y56wg8tgzk,1
s7Eq7rEVjm8y56wg8tgzk,7
s7Eq7rEVjm8y56wg8tgzk,9
s3jppwq2wGzGdxLMEiMOB,8
s3jppwq2wGzGdxLMEiMOB,13
s3jppwq2wGzGdxLMEiMOB,1
sGcPFzx56jTHBWMbNRlUb,19
sGcPFzx56jTHBWMbNRlUb,8
sGcPFzx56jTHBWMbNRlUb,3
sGcPFzx56jTHBWMbNRlUb,9
s5JdZv9Soz6WhjTlz8Amb,19
s5JdZv9Soz6WhjTlz8Amb,8
s5JdZv9Soz6WhjTlz8Amb,9
smXJsulJWaIn6q5bH5oKa,8
smXJsulJWaIn6q5bH5oKa,13
smXJsulJWaIn6q5bH5oKa,10
smXJsulJWaIn6q5bH5oKa,7
