item_sno,target_no
smzZXruPnxC9LTrBhaI3e,6
smzZXruPnxC9LTrBhaI3e,1
smzZXruPnxC9LTrBhaI3e,2
smzZXruPnxC9LTrBhaI3e,3
smzZXruPnxC9LTrBhaI3e,4
smzZXruPnxC9LTrBhaI3e,5
sBm5SwD65I9LExk9xwhdM,1
sBm5SwD65I9LExk9xwhdM,2
sBm5SwD65I9LExk9xwhdM,3
sBm5SwD65I9LExk9xwhdM,5
sjWnyuy2Be4FsBIxrkj3S,6
sWhF8RglSOaWBZJfjj3NR,1
sWhF8RglSOaWBZJfjj3NR,2
sWhF8RglSOaWBZJfjj3NR,3
sWhF8RglSOaWBZJfjj3NR,5
sYgaKpAcvCvlNTk9M1ej9,1
sYgaKpAcvCvlNTk9M1ej9,2
sYgaKpAcvCvlNTk9M1ej9,3
sYgaKpAcvCvlNTk9M1ej9,4
sYgaKpAcvCvlNTk9M1ej9,5
sDHtBercZICqDPpEujQQf,1
sDHtBercZICqDPpEujQQf,2
sDHtBercZICqDPpEujQQf,3
sDHtBercZICqDPpEujQQf,4
sDHtBercZICqDPpEujQQf,5
s431eN8Mcb8JeDxzJAF68,1
s431eN8Mcb8JeDxzJAF68,2
s431eN8Mcb8JeDxzJAF68,5
sxFjfvYn4s2v4Fik2ThWH,6
sxFjfvYn4s2v4Fik2ThWH,1
sxFjfvYn4s2v4Fik2ThWH,2
sxFjfvYn4s2v4Fik2ThWH,3
sxFjfvYn4s2v4Fik2ThWH,4
sxFjfvYn4s2v4Fik2ThWH,5
sKMkd8i80Y5OsCmYPrcTU,1
sKMkd8i80Y5OsCmYPrcTU,2
sKMkd8i80Y5OsCmYPrcTU,3
sKMkd8i80Y5OsCmYPrcTU,4
sKMkd8i80Y5OsCmYPrcTU,5
swMhf7lQeRIXTAfaoE8co,1
swMhf7lQeRIXTAfaoE8co,2
swMhf7lQeRIXTAfaoE8co,3
swMhf7lQeRIXTAfaoE8co,4
swMhf7lQeRIXTAfaoE8co,5
s1QzeJG4fUqZ7uxFI9DRO,1
s1QzeJG4fUqZ7uxFI9DRO,2
s1QzeJG4fUqZ7uxFI9DRO,3
s1QzeJG4fUqZ7uxFI9DRO,4
s1QzeJG4fUqZ7uxFI9DRO,5
s59XPS7JxwHlLIsAD6YNm,1
s59XPS7JxwHlLIsAD6YNm,2
s59XPS7JxwHlLIsAD6YNm,3
s59XPS7JxwHlLIsAD6YNm,4
s59XPS7JxwHlLIsAD6YNm,5
