item_sno,name,image,particle_no,grade_no
fZ529EWuqunmK7byYWfM5,마이펫닥터 시그니처 유기농 스킨컨트롤 피부 사료,https://shopping-phinf.pstatic.net/main_2117434/21174349916.20220905095654.jpg?type=f140,1,1
fOVwTJUdFjgNZftn8DkYW,마이펫닥터 시그니처 유기농 알러제닉 눈물 사료,https://shopping-phinf.pstatic.net/main_2640626/26406266522.20220905095827.jpg?type=f140,1,1
fqECIJXyJsJIyIvfesaVi,마이펫닥터 유기농 강아지 장건강 위장 사료,https://shopping-phinf.pstatic.net/main_2771491/27714913522.20220905095407.jpg?type=f140,1,1
fYEVfdQt9OudsPWWthogm,마이펫닥터 시그니처 도그 푸드 슬리밍 컨트롤 다이어트 사료,https://shopping-phinf.pstatic.net/main_2114078/21140789867.20220905095456.jpg?type=f140,1,1
fhnpi4CbHe6zzYStnVbVj,본아페티 강아지 소프트 반습식 사료,https://shopping-phinf.pstatic.net/main_8381802/83818024918.1.jpg?type=f140,0,2
f8uoz8wKeNUv7T8LODusm,네츄럴랩 케어1 관절 눈 유기농 기능성 사료,https://shopping-phinf.pstatic.net/main_3096174/30961742618.20220216170530.jpg?type=f140,0,1
fU0paMhIQ3oQI9RBmkwhT,더마독 관절 체중조절 강아지사료,https://shopping-phinf.pstatic.net/main_1933080/19330803748.20220629164505.jpg?type=f140,1,2
fpXRFcBC0J09r9ndb7eZL,더마독 피부 모질 건강사료,https://shopping-phinf.pstatic.net/main_1933091/19330910518.20220629164534.jpg?type=f140,1,2
fBMnpyjZHdK3lGDLbxQZ8,NOW 그레인프리 스몰브리드 어덜트,https://shopping-phinf.pstatic.net/main_1232582/12325828530.20210121101943.jpg?type=f140,1,3
fVpzpnes17kDiZK7XYh0H,마이펫닥터 인섹트 더 제로 강아지 알러지사료,https://shopping-phinf.pstatic.net/main_2640513/26405132522.20220818104927.jpg?type=f140,1,2
fYywJSTRvAAZ2B9VubY2n,펫컴 펫발란스 치킨&양고기와 쌀 대용량 전연령 강아지 애견 반려견 사료,https://shopping-phinf.pstatic.net/main_8171803/81718035658.7.jpg?type=f140,1,3
fe1nOQjd2exvf1bZn6lpQ,지위픽 독식품 소고기,https://shopping-phinf.pstatic.net/main_1531021/15310217396.20220729161530.jpg?type=f140,2,2
f9Fu4iSZjRXesf9pxKEEO,펫컴 퍼피위너 작은입자 국내산 전연령 치킨 강아지 애견 반려견 대용량 사료,https://shopping-phinf.pstatic.net/main_8260731/82607318467.2.jpg?type=f140,1,3
