item_sno,name,image,material,effect
TVkLrR2w1vf8HE08GHQr7,로이코 혼자있는 강아지 분리불안 예방 노즈워크 장난감 자동 지급기 트릿토이 베이직세트,https://shopping-phinf.pstatic.net/main_8335490/83354908655.15.jpg?type=f140,플라스틱,"자동으로 움직이는, 간식넣는, 분리불안해소"
TjXxUD3OYJi3n0QRJk50e,100% 천연원목 강아지 장난감 우드스틱 터그놀이 커피나무 이갈이 장난감 XXS - 본품,https://shopping-phinf.pstatic.net/main_8300196/83001965222.8.jpg?type=f140,원목,"치석케어, 흥미유발, 분리불안해소"
TSLbiYQ3OJAy0go3xZ30P,강아지 장난감 콩장난감 퍼피 XS,https://shopping-phinf.pstatic.net/main_8239639/82396392985.3.jpg?type=f140,플라스틱,"간식넣는, 물에뜨는, 분리불안해소"
TlzL1QEfR516GzqNZ77Ys,강아지 장난감 터그놀이 이갈이 삑삑이 세트,https://shopping-phinf.pstatic.net/main_8345948/83459485613.2.jpg?type=f140,실/끈,"소리나는, 치석케어, 흥미유발"
Te1L7JD2Q0R723p0EZDM7,강아지 만득이 인형 칼리 공 놀이 삑삑이 라텍스 장난감,https://shopping-phinf.pstatic.net/main_2633810/26338106910.20220331031707.jpg?type=f140,고무/실리콘,"소리나는, 치석케어, 흥미유발"
TXGnT9194ASE2IssO77wf,패리스독 강아지 장난감 스몰볼 라텍스 토이 1개,https://shopping-phinf.pstatic.net/main_8350247/83502476568.14.jpg?type=f140,고무/실리콘,"소리나는, 흥미유발, 분리불안해소"
T5h9xz6FW2puwZcT549c1,늠름댕냥 강아지 장난감 이갈이 치석제거 터그 놀이 실타래 베이직 로프,https://shopping-phinf.pstatic.net/main_8353069/83530694243.1.jpg?type=f140,합성섬유,"소리나는, 치석케어, 분리불안해소"
T6fRkJzI87Ya1z8w54Z42,이모펫 강아지 소형견 중형견 대형견 애착 인형 이갈이 삑삑이 치석제거 터그 놀이 간식 장난감 실타래 공,https://shopping-phinf.pstatic.net/main_8225065/82250651569.6.jpg?type=f140,합성섬유,"소리나는, 간식넣는, 치석케어"
TKu41MdBENSBUyxX3b44w,두잉비잉 강아지 이갈이 터그놀이 장난감 로프토이 사탕로프,https://shopping-phinf.pstatic.net/main_8369379/83693795330.10.jpg?type=f140,폴리에스테르,"소리나는, 치석케어, 분리불안해소"
T7iCh4sh4V5f2yzvvf5M5,펫스테이지 강아지 커피나무 나무스틱 우드스틱 이갈이 장난감 XS,https://shopping-phinf.pstatic.net/main_8219937/82199378042.5.jpg?type=f140,원목,"치석케어, 흥미유발, 분리불안해소"
TH4G3q14Ov0L2ZsIbs7z2,강아지 장난감 우드스틱 커피나무 이갈이 가리츄XS,https://shopping-phinf.pstatic.net/main_8375053/83750535673.5.jpg?type=f140,원목,"치석케어, 흥미유발, 분리불안해소"
T0b6VMZ9ii0vXr2vi1C3B,강아지 터그놀이 장난감 S 치석제거 이갈이,https://shopping-phinf.pstatic.net/main_1265978/12659781236.18.jpg?type=f140,실/끈,"치석케어, 두뇌개발, 흥미유발"
ThC7dGU1n76Vc3HEJ7581,강아지 대형견 이갈이 터그놀이 튼튼 실타래 치석제거 로프 장난감,https://shopping-phinf.pstatic.net/main_8244624/82446241865.10.jpg?type=f140,실/끈,"치석케어, 흥미유발, 분리불안해소"
T8W7j5j4jSK005Vg7alxD,강아지 라텍스 장난감 칼리 스위티 랜덤,https://shopping-phinf.pstatic.net/main_8292558/82925586678.7.jpg?type=f140,고무/실리콘,"소리나는, 흥미유발, 분리불안해소"
T7IvvD6nEmQgngJyVDcm9,커피나무로 만든 커피츄 100% 강아지 우드 스틱 이갈이 장난감 XXS,https://shopping-phinf.pstatic.net/main_8241785/82417859645.2.jpg?type=f140,원목,"치석케어, 흥미유발, 분리불안해소"
T88Ox24t6Z0LLbi3dLNGb,강아지 콩토이 콩클래식 소 장난감,https://shopping-phinf.pstatic.net/main_8239467/82394674084.8.jpg?type=f140,플라스틱,"두뇌개발, 흥미유발, 분리불안해소"
TD17TcY6Vvh2VgJ5T0Ar6,디어테일 새장난감 강아지장난감 움직이는 장난감 고양이 앵무새 날아다니는,https://shopping-phinf.pstatic.net/main_8443511/84435111480.jpg?type=f140,플라스틱,"자동으로 움직이는, 흥미유발, 분리불안해소"
TW897Px6DU2vKQqB2qiQx,생활픽 강아지 우드스틱 커피나무 나무스틱 이갈이장난감 XS,https://shopping-phinf.pstatic.net/main_8452576/84525761382.2.jpg?type=f140,원목,"치석케어, 흥미유발, 분리불안해소"
T6f4wrkdS1p8UK4TlG9ge,로이코 핑퐁볼 강아지 노즈워크볼 장난감 공,https://shopping-phinf.pstatic.net/main_8452321/84523211229.1.jpg?type=f140,고무/실리콘,"간식넣는, 페치게임, 분리불안해소"
TS3jJ9Nn23hbF0AUc4p6U,디스독왓캣 강아지 터그놀이 이갈이 장난감 당근 터그 로프,https://searchad-phinf.pstatic.net/MjAyMjA4MjJfMjA2/MDAxNjYxMTQxNDM1ODA2.uLbuIVgqV-sane9Ht28NV3jK-m83rg5Ix7_MHiYXfbMg.GCsRbCUWCQm6JRx0o955u_T3S8yzKKkvn7exPsbY6VQg.PNG/1164643-919cfe24-d8ec-4768-8283-57bd3408c6cb.png?type=f200,,"치석케어, 흥미유발, 분리불안해소"
Tnvli4h71R677RzOHmZJx,멍해묘해 강아지 노즈워크 장난감 당근밭 놀이터,https://shopping-phinf.pstatic.net/main_2958171/29581714197.20220419163203.jpg?type=f140,폴리에스테르,"간식넣는, 두뇌개발, 흥미유발, 분리불안해소"
TFMwIo0GRUu79B614o6Np,웨스티 강아지 만득이 공 삑삑이 라텍스 장난감 그린,https://shopping-phinf.pstatic.net/main_8337324/83373243735.6.jpg?type=f140,고무/실리콘,"소리나는, 흥미유발, 분리불안해소"
TCd0Me2032R5jm2YjyKqu,강아지장난감 바스락돼지바 애견터그놀이 이갈이,https://shopping-phinf.pstatic.net/main_9734258/9734258111.8.jpg?type=f140,고무/실리콘,"소리나는, 간식넣는, 치석케어"
TUXTS10kF3U7R1ga229cA,강아지 고양이 이갈이 장난감 터그놀이 치발기 세트,https://shopping-phinf.pstatic.net/main_8302286/83022861731.10.jpg?type=f140,실/끈,"치석케어, 흥미유발, 분리불안해소"
Tgkpe1a5HG7Ofop1zK0In,두키 강아지장난감 바나나인형 애견 삑삑이,https://shopping-phinf.pstatic.net/main_8406487/84064876487.jpg?type=f140,,"소리나는, 치석케어, 흥미유발"
T127FrrWKw4B5KngfQTLN,헬로도기 무독성 천연고무 강아지장난감 애견장난감 이갈이 치석제거 가시아령공 장난감,https://shopping-phinf.pstatic.net/main_8205095/82050958069.1.jpg?type=f140,,"두뇌개발, 흥미유발, 분리불안해소"
TgpOnCBD56s7wt489JSdP,"버디부 버디볼V2, 노즈워크 피트니스 볼 자동장난감 강아지장난감",https://shopping-phinf.pstatic.net/main_2854436/28544369450.jpg?type=f140,합성섬유,"소리나는, 자동으로 움직이는, 간식넣는, 두뇌개발, 흥미유발, 분리불안해소"
TgUKz92iop8Z77Z2jzaSm,강아지 노즈워크 분리불안 훈련 담요 스너플매트 중대형,https://shopping-phinf.pstatic.net/main_8000911/80009113836.1.jpg?type=f140,폴리에스테르,"간식넣는, 두뇌개발, 분리불안해소"
Te397RX8Z5zK49jx431Hg,[강아지 장난감] 콩 KONG 클래식 분리불안 해결 세나개,https://shopping-phinf.pstatic.net/main_1152673/11526732013.jpg?type=f140,고무/실리콘,"간식넣는, 두뇌개발, 분리불안해소"
TWr923sV5BC5t6gbix96x,강아지 노즈워크 분리불안 훈련 간식장난감 클립 - 요기 푸드클립,https://shopping-phinf.pstatic.net/main_1169228/11692282974.5.jpg?type=f140,플라스틱,"간식넣는, 흥미유발, 분리불안해소"
TsZn2218DrX0Q0ULHMNfS,강아지 장난감 이갈이 무독성 고무공 과일 라텍스 토이,https://shopping-phinf.pstatic.net/main_8140769/81407692882.2.jpg?type=f140,고무/실리콘,"소리나는, 흥미유발, 분리불안해소"
