index,sno,score,content
212,TVkLrR2w1vf8HE08GHQr7,5,"와.. 우리 강아지가 환장하게 좋아해요 !!! 구성품 제일 많은 풀패키지로 구입했고 미니벨도 추가로 더 구입했는데요! 핑퐁볼마다 미니벨 하나씩 다 넣어놨고 간식과 사료도 같이 넣어놨더니 공 하나씩 튀어나올때마다 진짜 환장하게 좋아해요 ㅎㅎ  공이 안나올때는 기계앞에 공손하게 앉아서 기다리고 있다가 안나와서 답답한지 구멍안으로 얼굴을 들이밀고 난리났네요 ㅋㅋㅋ강아지가 얼굴을 밀어넣어도 구조상 다치지않을 구조인것같아서 마음이 놓입니다^^ 작동시키는것도 단순하게 누르기만 하면 되니까 사용하기도 참 편하고, 시간 간격을 자유롭게 조절할수있다는게 정말 큰 장점이네요♡ 다음주부터 하루에 9시간씩 혼자있을 울 아가에게 주는 선물인데 생각보다 더 좋아해주니 제가 더 행복합니다. 이렇게 좋아할줄 알았으면 미리 사줄껄 후회됨ㅠㅠ울 아가에게 든든한 친구 만들어주셔서 정말 감사합니다ㅠㅠ"
212,TVkLrR2w1vf8HE08GHQr7,5,"환경변화로 강아지가 혼자 있을 시간이 많아져서 너무 짠함에 알아보니 이 제품이 눈에 들어와서 하루 고민하고 남기신 평들 꼼꼼히 체크하고 곧바로 구입했습니다. 총알배송으로 어제 받아서 혼자 테스트 해보았는데 정상적으로 잘 작동되고 30분 설정해놓고 언제 나오나..기다리니 저렇게 뿅! 하고 귀엽게 떨어지네요.
강아지가 보면 정말 많이 좋아할 거 같아 빨리 보여주고 싶은데 주말까지 기다려야하네요. 
강아지 찐 사용후기도 나중에 올릴께요~
일단 제품 자체는 완성도 높고 퀄리티 좋습니다. 
아, 그리고 5개가 아니고 2층? 짜리로 만들어서 10개정도 뿅뿅 나오는 아이도 개발해보시면 너무 좋을 것 같아 요!"
212,TVkLrR2w1vf8HE08GHQr7,5,"와~~  분리불안 우리 강아지 노즈워크 안해본거 없는데 이거 완전 대박템이예요
동물농장에서 자동 노즈워크로 분리불안 해결하는거 보고 구매했는데 잘한거 같아요~~
저 진짜 귀찮아서  리뷰 적는거 진짜진짜진짜 싫어하는데 이건 꼭 적어야겠어용  판매자님 넘 감사합니다 ^^
이제 맘놓고 다닐수 있겠어요~~^^ 망설이시는분들 꼭 구매하세요  후회안하실꺼예요~~~~"
212,TVkLrR2w1vf8HE08GHQr7,5,"처음엔사은품으로보내주신
삑삑이장난감에관심이더많터니
바로적응하고잘가지고놀아요
구멍에얼굴을자꾸집어넣는게문제네요🤣
아예자리깔고앉아서언제나오나기다려요"
212,TVkLrR2w1vf8HE08GHQr7,5,"공이.튼튼해요 
아이가 엄청 좋아하네요
원래 공을 엄청 좋아하는데 
이 공은 더 좋아하네요
기계앞에서 코대고 공달라고 보채네요
그래서 올려놨답니다"
212,TVkLrR2w1vf8HE08GHQr7,4,"디자인도 좋고, 제품도 좋아요. 단 볼5개중 고무재질볼3개는 좋은데 플라스틱 볼2개는 별로... 특히 투명공은 찾기도 힘들어요. ^^;"
212,TVkLrR2w1vf8HE08GHQr7,5,"출근할 때 두시간 간격으로 
눌러놓고 나가면 딱 좋습니다.
작은 구멍의 공은 트릿이 잘 안 빠져서 
고양이는 삐질 수도 있다는 것 외엔 최곱니다👍"
212,TVkLrR2w1vf8HE08GHQr7,5,"둘째딸 반려견 시로한테 선물~!
딸도 시로두 매우만족해하네요
신기해하는 엉뚱매력~
분리불안 타파하고 시간마다
재미지게 놀아주길~
선물한 내가 뿌듯합니다!!!"
212,TVkLrR2w1vf8HE08GHQr7,4,"세팅하는거 지켜보더니 배출구에 코를 박고 나름 노즈워크를 하네요ㅎ

단두종이라 노즈워크가 조금 어려운데 공 굴리는 건 잘 하고 좋아하는거 같아요
근데 트릿 없는 터그용이나 라이트 나오는 볼은 관심을 안가져요, 트릿 넣을 수 있는 공을 더 사야할거 같아요

휴지 장난감은 받은 첫 날 다 찢어졌어요..내구성이 1회용 같아요ㅠ ㅠ
안에서 간식 냄새가 나니까 그걸 계속 빨고 씹다보니까 구멍이 금방 나더라구요
휴지는 다시 구매 안할거같아요

아무래도 직접 놀아주는 거보다는 금방 흥미를 잃어요
전반적으로 애가 잘 노는 것 보다는, 세팅하고 나간 제 마음이 편해서 업무 집중할 수 있어 잘 사용할거 같아요"
212,TVkLrR2w1vf8HE08GHQr7,4,"혼자 있는 강아지에게 유용한 제품인데 우리 아이는 안 좋아하네요.
구멍에서 걸리는 경우도 많고요.
쉬우면 넘 빨리 먹고
어렵게 해놓으면 금방 포기해버리네요."
212,TVkLrR2w1vf8HE08GHQr7,5,강아지가 혼자 있게될 시간이 많아져서 구매했어요. 아직 써보진 않았지만 믿고 구매했습니당
212,TVkLrR2w1vf8HE08GHQr7,5,구성은 너무 좋은데 공 입구가 넘  커서 공이 굴러 나오면서 다 흘리고 나와요 ... 요즘은 간식은 작게 쓰시는분들도 있는데 공이 입구가 조절됬으면 좋을거같으요.....
212,TVkLrR2w1vf8HE08GHQr7,4,원래부터 갖고싶던건데 가격이 사악해서 고민하던차에 50%할인행사보고 얼른 구입했어요^^ 후기가 너무 좋아서 믿고 구입했지요. 별하나뺀이유는 공입구(간식넣는곳)이 커도 너무커서 간식이 뭐 굴릴필요도없이 그냥 쏟아져요ㅠㅠ 기계에서 나오면서 그냥 바닥에 떨어지기도 하네요ㅠㅠ 이부분을 좀 개선해주세요ㅠㅠ 사이트간식은 좀 다른가보니 또 너무커서 소형견인 저희아이한테는 좀 그러네요ㅠㅠ
212,TVkLrR2w1vf8HE08GHQr7,5,"심심할까봐 사줬는데  너무 좋아하네요ㅎ
배송도빠르고 너무 좋아용~~"
212,TVkLrR2w1vf8HE08GHQr7,5,"난리난리 🤦‍♀️
이렇게 사용하는거 맞나요?
ㅋㅋㅋ"
212,TVkLrR2w1vf8HE08GHQr7,5,"혼자 있는 시간이 좀 있어서 구입했어요. 나오는 걸 안 뒤로 계속 긁어서 위에 벌써 기스가 다 났지만, 그래도 행복해 하니 만족합니다. 저는 애기 다칠까봐 바닥에 뒀어요 -!"
212,TVkLrR2w1vf8HE08GHQr7,5,"진짜 웃긴 동영상이 하나잇엇는데 
지워졌네요 ㅠㅠ 본가에 사다 논거라
저희 강쥐 사진우로 대체 할게용
12살 말티 할머니 인데 ㅠㅠ저번에 코로나 끝나가면서 분리불안이 심해졋어요 이걸로 분리불안을 해결할순 없지만 열심히 노력중입니다 더 좋은 장난감 많이 만들어주세요 고장없이 잘 쓰고 잇습니다!"
212,TVkLrR2w1vf8HE08GHQr7,5,잘쓸게요 아직은 무서워하네여 ㅠㅠ
212,TVkLrR2w1vf8HE08GHQr7,5,놀다가 공이나오면 달려와요 / 빨리나오라고 앞에서 기다리기도 해요
212,TVkLrR2w1vf8HE08GHQr7,5,오늘받았는데  지금테스트중이에요 우리아가가 심심해하지않았으면좋겠어요
212,TVkLrR2w1vf8HE08GHQr7,5,"와.. 우리 강아지가 환장하게 좋아해요 !!! 구성품 제일 많은 풀패키지로 구입했고 미니벨도 추가로 더 구입했는데요! 핑퐁볼마다 미니벨 하나씩 다 넣어놨고 간식과 사료도 같이 넣어놨더니 공 하나씩 튀어나올때마다 진짜 환장하게 좋아해요 ㅎㅎ  공이 안나올때는 기계앞에 공손하게 앉아서 기다리고 있다가 안나와서 답답한지 구멍안으로 얼굴을 들이밀고 난리났네요 ㅋㅋㅋ강아지가 얼굴을 밀어넣어도 구조상 다치지않을 구조인것같아서 마음이 놓입니다^^ 작동시키는것도 단순하게 누르기만 하면 되니까 사용하기도 참 편하고, 시간 간격을 자유롭게 조절할수있다는게 정말 큰 장점이네요♡ 다음주부터 하루에 9시간씩 혼자있을 울 아가에게 주는 선물인데 생각보다 더 좋아해주니 제가 더 행복합니다. 이렇게 좋아할줄 알았으면 미리 사줄껄 후회됨ㅠㅠ울 아가에게 든든한 친구 만들어주셔서 정말 감사합니다ㅠㅠ"
212,TVkLrR2w1vf8HE08GHQr7,5,"환경변화로 강아지가 혼자 있을 시간이 많아져서 너무 짠함에 알아보니 이 제품이 눈에 들어와서 하루 고민하고 남기신 평들 꼼꼼히 체크하고 곧바로 구입했습니다. 총알배송으로 어제 받아서 혼자 테스트 해보았는데 정상적으로 잘 작동되고 30분 설정해놓고 언제 나오나..기다리니 저렇게 뿅! 하고 귀엽게 떨어지네요.
강아지가 보면 정말 많이 좋아할 거 같아 빨리 보여주고 싶은데 주말까지 기다려야하네요. 
강아지 찐 사용후기도 나중에 올릴께요~
일단 제품 자체는 완성도 높고 퀄리티 좋습니다. 
아, 그리고 5개가 아니고 2층? 짜리로 만들어서 10개정도 뿅뿅 나오는 아이도 개발해보시면 너무 좋을 것 같아 요!"
